Bill ID,Title,Relevance Score (1-10),GDP Impact %,GDP Impact Confidence,GDP Impact Justification,Relevance Justification,Primary Mechanism,Implementation Timeline,Analysis Timestamp,Error
C-232,An Act to amend the Corrections and Conditional Release Act (maximum security offenders),2,0.008,low,"Affected sectors: (1) Federal corrections operations (CSC) and security staffing; (2) Construction/retrofit contractors and security equipment vendors; (3) Minor legal/administrative services. Mechanism: Mandates maximum-security classification and custody for all dangerous offenders and inmates convicted of more than one first-degree murder, preventing step-downs to medium security and associated unescorted temporary absences. This raises per-inmate operating costs and may require limited max-security area retrofits. Scale: Approx. 850 dangerous offenders in custody and ~120 inmates with multiple first-degree murder convictions. Conservatively assume 25% of dangerous offenders (≈213) and 30% of multiple-murder lifers (≈36) are not currently in max; total ≈249 inmates moved/kept at max. Incremental operating cost difference max vs. medium ≈ $60,000 per inmate-year (CSC benchmarks). Annual O&M increase ≈ 249 × $60k = $14.94M. Pipeline additions: ~35 new dangerous offender designations and ~5 multiple-murder cases per year; assuming 30% would otherwise step down over time yields an average additional 80 inmates in max instead of medium over the decade (80 × $60k = $4.8M/year). Ten-year O&M total ≈ ($14.94M + $4.8M) × 10 = $197M. Capital: modest retrofits to convert/expand max-security areas (e.g., 150 beds at ~$150k/bed) ≈ $22.5M over first 3 years. Administrative offsets from fewer unescorted temporary absences for this cohort are small (≈ −$2M over 10 years) because such absences are rare. Net 10-year incremental public spending ≈ $197M + $22.5M − $2M ≈ $215M. As a share of ~$2.7T GDP, ≈ $215M / $2.7T ≈ 0.008%. Time horizon: Operating cost impacts begin within 1–2 years as classifications are updated; capital impacts occur mainly in years 1–4; effects persist through years 5–10 as the cohort ages. Confidence: Low, because the current proportion of these offenders already in maximum security is uncertain and unit cost differentials vary by facility; many may already be managed at max, which would reduce the incremental effect. No credible pathway to broader productivity effects; impacts are primarily fiscal and procurement-related.","Limited direct relevance to most builders and entrepreneurs. Potential minor opportunities for firms doing corrections facility retrofits, perimeter security, and specialized equipment, but the spend is small relative to the economy and highly concentrated in a few institutions. No material change to the broader business environment, compliance costs, or investment climate.","Mandates maximum-security classification and custody for dangerous offenders and inmates convicted of multiple first-degree murders, increasing per-inmate operating costs and necessitating limited max-security area retrofits while foreclosing unescorted temporary absences.",0–2 years for reclassification and transfers; 2–5 years for any required max-security area retrofits; ongoing operating impacts through 10 years.,2025-10-17T23:43:56.865Z,
C-9,"An Act to amend the Criminal Code (hate propaganda, hate crime and access to religious or cultural places)",4,0.0012,low,"Affected sectors: religious and cultural institutions (non-profits), nearby retail/hospitality, event venues, insurers, and private security. Mechanism: (1) Creates a stand‑alone hate‑crime offence (s.320.1001) with higher maximum penalties for any underlying offence when motivated by hatred, which modestly increases deterrence and prosecutorial clarity beyond existing sentencing enhancements; (2) creates a new offence for intimidation/obstruction of access to buildings primarily used for religious worship or by identifiable groups and to cemeteries (s.423.3), reducing access‑blocking incidents and event cancellations; (3) adds the new offence to the Part VI intercept list (s.183) and DNA order eligibility (s.487.04), modestly improving enforcement. Scale: Canada sees roughly 3,000–5,000 police‑reported hate crimes annually; about 55–60% are mischief/property damage. Conservatively assume 1,800 property‑mischief incidents/year with average direct repair/cleanup and operational disruption of ~$7,500 each (~$13.5M baseline cost). A 10% reduction from added deterrence/enforcement yields ~$1.35M/year in avoided losses. For access‑blocking, assume ~400 incidents/year across worship/cultural sites causing cancellations or curtailed access, with average lost output (on‑site spending/donations, rescheduling/security, nearby small‑business spillovers) of ~$12.5k/incident (~$5M baseline); a 25% reduction from the new, clearer offence yields ~$1.25M/year. Include a small spillover benefit to adjacent commerce from fewer disruptions (~$0.5M/year). Time horizon: legal effect 30 days after Royal Assent; practical deterrence ramps over ~2–3 years as police and prosecutors apply the new provisions. Using a ramped profile, average net gain ≈ $3.2M/year over 10 years ≈ $32M total, or ~0.0012% of a $2.7T GDP. Notes: we do not count increased enforcement/incarceration spending as a net GDP gain (likely a budget reallocation). Offsetting risks include substitution (incidents moving to non‑covered locations) and case‑law uncertainty around hate‑speech provisions. Confidence: low, because incident volumes, unit costs, and behavioral responses are uncertain and indirect effects are hard to quantify; the estimate is deliberately conservative and small.","Some relevance to entrepreneurs but indirect. The bill mainly targets criminal conduct around religious/cultural sites rather than core business regulation. Potential benefits include fewer access disruptions and lower vandalism risk for a narrow set of venues and nearby small businesses, and marginal insurance/security impacts. No new compliance duties for typical firms, and macroeconomic effects are minimal. More relevant to operators of religious/cultural facilities, event organizers, and insurers than to the broader business community.","Introduces a stand‑alone hate‑crime offence and criminalizes intimidation/obstruction of access to religious/cultural sites, modestly deterring vandalism and access‑blocking incidents.",Comes into force 30 days after Royal Assent; measurable deterrence and enforcement effects likely over 2–3 years.,2025-10-17T23:43:56.865Z,
C-230,An Act to amend the Financial Administration Act and to make consequential amendments to other Acts (debt forgiveness registry),4,0.002,low,"Affected sectors: large corporate taxpayers across all industries (corporations/partnerships/trusts), federal public administration, and legal/accounting/compliance services; minor IT services demand. Mechanism: creating a public, searchable registry of >$1M federal debts/claims that were waived, written off, or forgiven introduces reputational and political scrutiny, which can (i) deter discretionary remissions/write‑offs, (ii) encourage earlier settlement to avoid listing, and (iii) tighten internal controls at departments/CRA; plus a small one‑time/ongoing IT spend to build/operate the registry. Scale: Public Accounts routinely report several billions in annual write‑offs/forgiveness across all taxpayers; conservatively assume $0.5–$1.5B per year pertains to corporations with single accounts ≥$1M (roughly 100–250 cases averaging $4–$10M), midpoint ~$1.0B. Transparency-driven behavioural change plausibly reduces such amounts by ~2% (=~$20M/year) through fewer discretionary remissions or improved collections; most large write‑offs are insolvency-driven and unaffected. Time horizon: 12–24 months to stand up the registry; behavioural effects phase in over 2–5 years. GDP math (conservative): assume 30% of recovered revenue is re-spent with a 0.7 multiplier (rest reduces deficit) → ~$4.2M/year GDP; government IT outlays ~$12M one-time + ~$2M/year O&M (~$30M over 10 years) → ≈$3M/year GDP; minor added legal/comms frictions netted at −$1M/year. Net ≈ $6M/year, ~0.00022% of GDP annually; over 10 years ≈ 0.002% cumulative. Implementation risks and uncertain behavioural response → low confidence.","Somewhat relevant to builders/entrepreneurs via tax fairness and transparency, but it does not change tax rates, filings, or day-to-day compliance for most firms. It primarily affects a small number of large entities with >$1M debts that end up waived/written off/forgiven, plus minor public-sector IT procurement. Indirect benefits include reduced perception of ""sweetheart deals"" and slightly improved enforcement discipline.","Public, searchable registry of >$1M federal debt write-offs/waivers/forgiveness for corporations, deterring discretionary remissions and improving collections via reputational and oversight pressure.",1–2 years to build and launch the registry; behavioural effects materialize over 2–5 years.,2025-10-17T23:43:56.865Z,
C-231,An Act to amend the Youth Criminal Justice Act,0,0,unknown,Analysis failed,Analysis failed,Not specified,Not specified,2025-10-17T23:43:56.865Z,Request timed out.
C-233,An Act to amend the Export and Import Permits Act,6,0.03,low,"Affected sectors: defence and security manufacturing (armoured vehicles, aerospace and avionics, optics and sensors, shipbuilding components, munitions), defence tech services, and brokers/logistics. Scale: Canadian military goods and technology exports are roughly $4–6B per year; a conservative midpoint of $5B is used (non‑US reported exports ~2–3B; US flows are not fully reported but industry sources suggest a similar magnitude). Approximately 700–900 firms and ~50–70k workers participate in this supply chain. Mechanisms: (1) Eliminates general export and brokering permits for military goods (notably ending GEP‑47 to the US after a 180‑day grace period), forcing firm- and contract‑specific permits; (2) requires re‑permitting of existing permits within 180 days, causing a one‑time backlog; (3) clarifies that parts/components/technology necessary for assembly/use are covered, modestly expanding the set of controlled items; (4) adds potential end‑use certificate requirements where substantial risk is identified, increasing processing time for some destinations. Time horizon: immediate shock at 180 days; most impacts in years 1–3; steady‑state friction thereafter. Quantification (conservative): (a) Lost/delayed exports from permitting friction estimated at 2% of the affected flow for the first 3 years and 1% for the following 7 years: 0.02*5B*3 + 0.01*5B*7 ≈ $0.65B over 10 years. (b) Industry compliance and working‑capital costs from added permits and brokering approvals ≈ $10–15M per year after year 1 plus a transition spike (~$20–30M) during the first two years; assume $0.14B over 10 years. Total 10‑year cumulative impact ≈ $0.79B. As a share of Canada’s ~$2.7T GDP, this is ~0.029% (rounded to 0.03%). Key uncertainties: Global Affairs Canada’s actual permit throughput and ability to issue multi‑year, multi‑shipment permits to reduce friction; whether end‑use certificate requirements will rarely apply to the US (likely) but more often to a subset of non‑US destinations; potential industry adaptation (consolidating permits, adjusting logistics). These uncertainties drive the low confidence but the central estimate remains in the minor range.","Somewhat relevant to builders and entrepreneurs overall, but directly relevant to defence exporters, aerospace suppliers, and brokers. It raises compliance burden, lead times, and contract risk for several hundred firms integrated into US and allied supply chains, with knock‑on effects for SMEs in machining, electronics, and logistics. Limited relevance outside the defence/manufacturing niche and no economy‑wide regulatory relief or tax changes, hence a 6 rather than higher.","Eliminates general permits (including GEP‑47) so exporters must obtain firm- or contract-specific permits for military goods and technology, with a 180‑day forced re‑permitting of existing permits that increases delays and compliance costs.","Immediate to 2 years: 180‑day transition triggers re‑permitting surge and near‑term delays; 2–5 years: steady‑state with ongoing permit processing and modest friction; 5–10 years: impacts persist at lower, steady levels.",2025-10-17T23:43:56.865Z,
C-222,An Act to amend the Employment Insurance Act and the Canada Labour Code (death of a child),0,0,unknown,Analysis failed,Analysis failed,Not specified,Not specified,2025-10-17T23:43:56.865Z,Request timed out.
C-223,An Act to amend the Divorce Act,2,0.004,low,"Affected sectors: legal services (family law), provincial courts/justice system, and—indirectly—labour markets for custodial parents. Mechanisms: (1) Mandatory family‑violence risk screening by lawyers adds modest billable time and some training; (2) clearer consideration of coercive control likely lengthens some hearings slightly; (3) relocation burden-of-proof change marginally increases approved relocations, improving labour mobility and earnings for some custodial parents. Scale: Canada records ~50,000 divorces/year; assume ~60% with legal counsel (~30,000 cases). Added screening/safety planning averages ~1.25 hours per counselled case at ~$300/hour ≈ $11.25M/year, or ~$112.5M over 10 years. One‑off lawyer training: ~8,000 family lawyers × 3 hours × $250/hour ≈ $6M (year 1-2). Court time: ~8,000 contested matters/year with +0.25 hour at ~$350/hour ≈ $0.7M/year, ~$7M over 10 years. Transitional re-litigation due to variation orders: ~1,000 extra motions over first 2 years at ~3 hours per side × 2 × $300/hour ≈ ~$2M. Labour mobility: relocation standard likely increases approvals by ~75/year; assume average incremental earnings of ~$3,000/year for ~4 years per case (job access/family support), yielding roughly $9M over 10 years within the window. Time horizon: legal/court spending impacts begin immediately upon in-force; mobility and child‑safety effects accumulate over 2–5+ years. Net 10‑year incremental economic activity ≈ $125M–$135M, which is ~0.004%–0.005% of $2.7T GDP; we report 0.004% to be conservative. Notes: Many divorces are uncontested or self‑represented, limiting scope; provincial practice variation and judicial interpretation add uncertainty; avoided domestic‑violence harms could reduce public costs but measured GDP effects are ambiguous (savings may be redeployed).","Primarily a family-law/child-protection bill. Direct business impacts are limited to modest changes in family-law practice and court processes. Only indirect, diffuse effects on the broader business environment (e.g., minor changes in employee mobility or wellbeing). Little relevance to builders or most entrepreneurs beyond legal services firms.",Mandatory family-violence risk screening by lawyers adds ~1.25 billable hours per counselled divorce and modestly alters litigation/relocation outcomes.,Immediate for lawyer screening once in force; 2–5 years for judicial practice and jurisprudence to stabilize; 5–10 years for downstream labour mobility and social outcomes.,2025-10-17T23:43:56.865Z,
C-224,An Act to amend the Food and Drugs Act (natural health products),0,0,unknown,Analysis failed,Analysis failed,Not specified,Not specified,2025-10-17T23:43:56.865Z,Request timed out.
C-225,An Act to amend the Criminal Code,3,0.008,low,"Affected sectors: policing, courts/Crown, provincial corrections (remand), forensic/psychological assessment services, evidence storage, and—indirectly—employers via worker absenteeism related to intimate partner violence (IPV). Mechanisms: (1) mandatory non‑release by police for certain IPV arrests increases remand bed‑days and bail hearings; (2) new 7‑day risk‑of‑reoffending assessments add custody days and assessment costs; (3) creating IPV‑specific offences and designating intimate‑partner murder as first‑degree may slightly increase court time and custodial days; (4) extending seized-property detention from 3 months to 1 year raises storage/handling costs. Scale and conservative calculations (annual): • Police‑release restriction: assume ~120,000 police‑reported IPV victims/year; ~60,000 charges; ~15% with relevant prior/release status ⇒ ~9,000 cases. Added average 1 custody day per case ⇒ ~9,000 bed‑days × $250/day ≈ $2.25M. • Risk assessments: assume 2,000 orders/year; 7 days each ⇒ 14,000 bed‑days × $250/day ≈ $3.5M; plus ~$1,500 per assessment for clinicians/admin ≈ $3.0M; subtotal ≈ $6.5M. • Court time: ~9,000 added bail hearings + 2,000 assessment hearings ≈ 11,000 events × ~$700 all‑in/event (judge/Crown/defence/court staff) ≈ $7.7M. • Seized‑property storage: assume incremental 12,000 items/year held longer × ~$100 storage/handling ≈ $1.2M. • Sentencing/charging effects: modest increase in custodial exposure (e.g., +5,000 inmate‑days) ≈ $1.25M. • Training/admin/policing overhead ≈ $2.0M. Gross incremental public spend ≈ $20.9M/year. Potential productivity gains from fewer repeat incidents are small and uncertain: if measures prevent ~2% of repeat incidents among ~9,000 high‑risk cases ⇒ ~180 incidents avoided/year; assume ~5 lost workdays avoided/incident at ~$540 GDP/worker‑day ⇒ ≈ $0.5M/year in added output. Net GDP change (government spending enters GDP; small productivity gain also adds): ≈ $21–22M/year. Over 10 years, ≈ $210–220M total, which is ≈ 0.008% of a $2.7T GDP. Time horizon: most spending impacts are immediate to 1–2 years post‑implementation; any crime‑reduction productivity effects likely accrue over 2–5 years and remain modest. Caveats: uptake of risk‑assessment orders, local custody capacity, and charging practices vary widely across provinces/territories; the true deterrent effect on IPV recidivism is uncertain. Given these uncertainties and the narrow scope, confidence is low.","Primarily a criminal justice and public safety bill. It has limited direct implications for builders and entrepreneurs beyond minor, indirect effects on employee absenteeism, HR policies around leave/safety, and small changes in local justice‑system activity. No material changes to taxes, permitting, trade, competition, or core business regulations.","Increases justice-system activity and custodial bed-days via mandatory non-release for certain IPV arrests and 7-day risk-of-reoffending assessments, modestly raising public-sector spending with minimal, uncertain productivity gains from reduced repeat IPV.","Impacts begin immediately upon coming into force, with operational ramp-up over 1–2 years; any crime-reduction-related productivity effects would materialize over 2–5 years.",2025-10-17T23:43:56.865Z,
C-226,An Act to establish a national framework to improve food price transparency,0,0,unknown,Analysis failed,Analysis failed,Not specified,Not specified,2025-10-17T23:43:56.865Z,Request timed out.
C-227,An Act to establish a national strategy on housing for young Canadians,5,0.001,low,"What the bill does: mandates a federal strategy, consultations, one conference, and reporting on housing for 17–34-year-olds. It does not change zoning, permitting, taxation, or create funded programs. Affected sectors: residential construction (multi-family rental, student housing, co-ops, entry-level ownership), real estate development/management, mortgage/lending, municipal planning, youth-serving nonprofits. Mechanisms: (1) information/coordination effects (centralized guidance/portal, best-practice sharing) that reduce search/compliance time for young households and project sponsors; (2) small acceleration/soft-cost reduction on a handful of youth/student-housing projects due to better intergovernmental alignment and program uptake. Scale assumptions (conservative, 10-year cumulative): - Portal/knowledge-sharing: 200,000 young Canadians/year use centralized resources starting in year 2; 0.25 hours saved each at $25/hour for 8 years ≈ $10M of time savings. - Developers/lenders/municipal staff: ~200 organizations save 10 hours/year at $80/hour for 5 years ≈ $8M. - Project financing/soft-cost savings: 10 youth/student/co-op projects over a decade (≈$30M each) achieve 0.2% lower carrying/soft costs via earlier alignment ≈ $6M. - Federal admin/outreach spending to run the strategy/conference/reporting: ~$12–16M over 10 years. Combined gross impact ≈ $36–40M. Conservatively, we attribute ≈$27M (0.001% of $2.7T GDP) as the 10-year cumulative GDP effect, given voluntary provincial/municipal uptake and the non-binding nature of the strategy. Timing: benefits begin after the strategy is tabled (within 18 months) and materialize gradually over 2–5 years. Confidence: low due to uncertainty about actual adoption and the bill’s lack of binding measures or funding.","Somewhat relevant for builders and housing entrepreneurs: it may slightly improve information flow and coordination for student/youth-oriented rental, co-op, and entry-level projects, but it creates no new funding, incentives, or regulatory changes. Watch for downstream policies it may recommend, but immediate operational impact is limited.",Creates a federal strategy/portal and intergovernmental coordination that marginally reduces information and coordination frictions for youth/student housing projects.,2–5 years (strategy due within 18 months; any effects depend on voluntary provincial/municipal uptake and gradual program alignment).,2025-10-17T23:43:56.865Z,
C-228,"An Act to amend the Department of Foreign Affairs, Trade and Development Act (prior review of treaties by Parliament)",4,-0.003,low,"Mechanisms: (1) a statutory requirement to obtain House committee advice on “major treaties” can slightly extend time-to-ratification/modification for trade/investment agreements; (2) small ongoing administrative costs for memoranda and publication; (3) marginal transparency/quality gains. Baseline: since 2008, Canada already tables treaties for 21 sitting days with an explanatory memo, so the bill largely codifies existing practice; the incremental change is the mandatory advice/review step and hard publication deadlines. Conservative quantification: assume an average incremental delay of 5 calendar days for major economic treaties (exception clause in s.12.4 curbs longer delays). Over 10 years, assume one major FTA/renegotiation with an average annual GDP gain of 0.2%, plus four smaller economic treaties/modifications averaging 0.005% annual gains each. One-time GDP foregone inside the 10-year window from a 5-day delay ≈ (0.2% × 5/365) + 4 × (0.005% × 5/365) ≈ 0.0030% of GDP. Incremental admin resources for drafting/translation/publishing beyond current practice ≈ $2M/year → $20M over 10 years ≈ 0.00074% of GDP. Offsetting benefit from improved scrutiny/transparency (e.g., preventing a drafting error costing ≈ $10M/year with 10% probability) ≈ +$10M over 10 years ≈ +0.00037% of GDP. Net impact ≈ −0.003% (negligible). Time horizon: admin costs immediate; delay effects occur only when major treaties arise (sporadically over 2–10 years). Confidence is low due to uncertainty about the number/size of future treaties and committee timelines.","Somewhat relevant. It indirectly affects businesses by marginally changing the timing and transparency of trade/investment treaties, which can influence market access and rules. However, it does not alter domestic regulations or taxes directly, and most effects are procedural and small relative to existing practice.","Introduces mandatory prior tabling with detailed memoranda and requires House committee advice for major treaties, slightly delaying entry into force while improving transparency.",Immediate for tabling and publication rules upon coming into force; practical economic effects occur only as new major treaties arise over the next 2–10 years.,2025-10-17T23:43:56.865Z,
C-229,An Act to establish a national framework respecting attention deficit hyperactivity disorder,4,0.02,low,"This bill establishes a national framework (guidance, training resources, access pathways) without mandating programs or funding. Any GDP effects come indirectly from earlier diagnosis and wider use of evidence‑based ADHD treatment, plus better school supports. Affected sectors: healthcare providers (family physicians, psychiatrists, psychologists, nurses), K‑12/ post‑secondary education, pharma, training/edtech, and digital health. Mechanism: provider/educator training and guidance increases accurate assessment and appropriate treatment; this raises on‑the‑job productivity for adults with ADHD, reduces absenteeism and accidents, and modestly reduces caregiving time burdens for families. Scale and conservative calculation: (1) Population with ADHD ≈ 1.0M; working‑age ≈ 65% → 650k. Assume 40% untreated or mismanaged (260k). As a framework (not funding), assume it results in appropriate diagnosis/treatment for 10% of the untreated by year 10 → ~26k adults. (2) Conservative productivity gain per newly and properly treated adult: 4%. With ~$100k GDP per worker, annual steady‑state gain ≈ 26,000 × $100,000 × 4% ≈ $104M/year by year 10. Assuming a 2‑year setup and linear ramp through years 3–10, cumulative ≈ 0.5 × $104M × 8 ≈ $416M. (3) Caregiver/parent time: assume 10k families regain 100 hours/year at $30/hour once mature → ~$30M/year; cumulative over ramp ≈ $120M. (4) Modest reductions in accidents/comorbidities/absences add an estimated ~$50M cumulative over 10 years. (5) Subtract implementation/training opportunity costs (e.g., 50k educators + 20k clinicians × 4 hours × ~$60/hour plus content development) ≈ $50M one‑time. Net 10‑year cumulative ≈ $416M + $120M + $50M − $50M ≈ $536M, or ~0.02% of Canada’s ~$2.7T GDP. Time horizon: minimal impact until year 3; benefits accrue mainly in years 3–10. Confidence is low because outcomes depend on provincial/territorial and Indigenous adoption, clinical practice changes, and no guaranteed funding, and because behavior‑change effects are uncertain.","Somewhat relevant to builders and entrepreneurs via indirect workforce productivity gains and niche opportunities for providers of training, edtech, diagnostics, and digital health. It does not change taxes, permitting, or core business regulations, and funding is not specified, so commercial demand is uncertain.","Increases evidence‑based ADHD assessment and treatment via national training/resources, raising treatment uptake among currently untreated adults.",2-5 years (framework tabled by year 2; provincial/territorial adoption and training rollout in years 3–5; measurable benefits in years 5–10).,2025-10-17T23:43:56.865Z,
C-221,An Act to amend the Corrections and Conditional Release Act (disclosure of information to victims),2,0.0001,high,"Affected sectors: Correctional Service of Canada (CSC), Parole Board of Canada (PBC), and federal victim services administration; negligible private-sector involvement. Mechanism: Requires that victim notifications about temporary absences/releases/parole eligibility and review dates include an explanation of how those dates were determined. This adds a short drafting/verification step per notification and minor IT/template updates and training. Scale: Canada processes on the order of 15,000–30,000 relevant notifications annually to registered victims. Assuming an added 10 minutes of staff time per notification at a fully loaded $55/hour implies ~$9.17 per notification. At 20,000 notifications/year, incremental operating cost ≈ $183k/year. Add a one-time IT/template/training cost of ~$0.4–$0.7M and modest annual maintenance (~$25–$50k). Ten-year cumulative cost is conservatively ~$2.2–$2.6M (central case ≈ $2.5M). Even without offsetting reductions in follow-up inquiries, this equals ~0.00009% of current GDP ($2.5M / $2.7T), rounded here to 0.0001%. Time horizon: One-time setup within 6–12 months of Royal Assent; ongoing minor administrative workload thereafter. Confidence: High that the impact is negligible and far below 0.01% of GDP; moderate on exact counts and unit costs, but variations do not change the conclusion. Note: Measured GDP could be neutral to slightly positive (public admin spending counts in GDP), but the magnitude remains ~0.0001% over 10 years.","This is a narrow administrative transparency change within federal corrections and parole processes. It does not materially affect private-sector regulation, costs, or opportunities. Any economic effects are confined to minor government administrative workload and small IT updates, with negligible implications for builders or entrepreneurs.","Mandates CSC/PBC to include an explanation of how parole/eligibility and review dates are calculated in victim notifications, causing minor added admin time per case and small IT/template updates.","6–12 months for policy, training, and IT/template updates; ongoing minor operational effects thereafter.",2025-10-17T23:43:56.865Z,
C-220,An Act to amend the Criminal Code (immigration status in sentencing),2,0.006,low,"Affected sectors: provincial/federal corrections and courts, CBSA removals (immigration enforcement), and employers with some non‑citizen workers (hospitality, agriculture, construction, services, and some tech). Mechanism: by barring judges from considering immigration consequences in sentencing, some non‑citizen offenders who might previously have received shorter sentences to avoid deportation will instead receive slightly longer custodial sentences and face more removals from Canada. This raises public-sector costs (incarceration and removals) and creates a very small, mostly temporary labour‑supply reduction for employers. Scale: Canada completes roughly 200k+ adult criminal court cases annually. Assuming ~35% receive custody (~70k) and ~20% of those exceed six months (~14k), and non‑citizens comprise ~12% of offenders, about 1,700 non‑citizen cases per year involve 6+ month custody exposure. Only a subset are close enough to the immigration thresholds (e.g., six months) for sentencing to have been adjusted under current jurisprudence; assume 300 such cases/yr would have been mitigated previously. If average additional incarceration is ~2.5 months, that adds ~62.5 inmate‑years/yr, at ~$120k/inmate‑year ≈ $7.5M/yr. Additional removals: assume ~200 more enforced removals/yr at ~$20k each ≈ $4.0M/yr. Labour/GDP effect: net of replacement through ongoing immigration and labour churn, assume ~50 net worker‑years lost/yr at ~$120k GDP/worker ≈ $6.0M/yr. Net annual impact ≈ $17.5M; over 10 years ≈ $175M, or ~0.006–0.007% of current GDP. Time horizon: effects begin immediately upon Royal Assent for new sentencings; removals and labour impacts phase in over 1–3 years and then stabilize. Confidence: low, because the exact number of cases where immigration status currently alters sentencing is uncertain, enforcement rates vary, and labour replacement can offset much of the output loss. Overall, the bill’s 10‑year cumulative impact is small and likely net negative (~$160–$200M, ≈0.006% of GDP).","This is a narrow criminal‑sentencing change. It does not alter taxes, business regulation, permitting, or immigration intake. The only business‑adjacent effect is a very small increase in removals of non‑citizen offenders, producing negligible workforce impacts for most employers. Thus, minimal relevance to builders and entrepreneurs.","Removes judicial discretion to mitigate sentences due to deportation risk, leading to slightly longer custody for some non‑citizen offenders and more CBSA removals.",Immediate upon Royal Assent for new sentencings; full effects materialize over 1–3 years as cases progress and removals occur.,2025-10-17T23:43:56.865Z,
C-219,"An Act to amend the Department of Foreign Affairs, Trade and Development Act, the Justice for Victims of Corrupt Foreign Officials Act (Sergei Magnitsky Law), the Special Economic Measures Act and the Broadcasting Act",0,0,unknown,Analysis failed,Analysis failed,Not specified,Not specified,2025-10-17T23:43:56.865Z,Request timed out.
C-218,An Act to amend the Criminal Code (medical assistance in dying),0,0,unknown,Analysis failed,Analysis failed,Not specified,Not specified,2025-10-17T23:43:56.865Z,Request timed out.
C-217,An Act to amend the Canada Student Financial Assistance Act and the Income Tax Act,5,0.04,low,"Affected sectors: post‑secondary education, labour market/human capital, disability services. Mechanism: the bill requires the Minister to pay tuition for students eligible for the Disability Tax Credit (DTC), with payments treated as non‑taxable grants. This effectively reduces direct education costs by roughly $6,000 per year per eligible student (conservative average tuition), increasing enrolment and completions among persons with disabilities and, over time, boosting labour force participation and productivity. Scale: Canada has ~2.0M post‑secondary students; students reporting disabilities are a sizable share, but DTC‑eligible is a narrower subset. Using a conservative baseline of ~45,000 DTC‑eligible students currently enrolled nationwide, a full tuition grant could lift DTC‑eligible enrolment by ~25% (15–30% plausible range given higher price sensitivity), adding ~11,000 incremental FTE students at steady state. Direct output effect in education: incremental 11,000 FTE × $6,000 tuition ≈ $66M/year in additional education services produced; assuming a 2‑year ramp-up, ~8 effective years at/near steady state in the 10-year window ≈ $528M cumulative. Human capital effect: with an average 3‑year program and ~60% completion among incremental entrants, incremental graduates per year at steady state ≈ (11,000/3)*0.60 ≈ 2,200. Within a 10-year window, grads appear from years 4–10; person‑years of higher productivity ≈ 2,200 × (1+2+...+7) = 61,600 person‑years. Assuming a conservative $8,000 annual earnings/productivity premium for a credential among persons with disabilities, cumulative ≈ $493M. Add a modest benefit for non‑completers (partial skill/credentialing, small employment gains) ≈ $50M. Total conservative cumulative GDP addition ≈ $1.07B over 10 years. As a share of ~$2.7T GDP, ≈ 0.04%. Time horizon: enrolment effects start within 1–2 years; earnings/productivity effects materialize mainly in years 4–10. Confidence is low due to uncertainties in DTC‑eligible student counts, enrolment elasticity, provincial/institutional capacity responses, and program conditions/appropriations.","Somewhat relevant to builders/entrepreneurs via labour supply and talent pipeline effects. The bill lowers a key barrier to post‑secondary access for persons with disabilities, likely increasing the pool of credentialed workers over time and broadening inclusion. Direct business impacts (taxes, permitting, compliance) are minimal, and benefits materialize gradually, so relevance is moderate rather than high.","Pays full tuition directly to designated institutions for DTC‑eligible students, reducing out‑of‑pocket costs by ~$6,000 per year, increasing enrolment/completion, and raising future labour force participation and productivity.",1–2 years for regulatory setup and enrolment ramp-up; 3–10 years for labour market and productivity gains to materialize.,2025-10-17T23:43:56.865Z,
